Country,Name,Start Date,End Date,Deaths
Canada,Civil Marriage Act,July 21 2005,July 21 2005,0
Canada,Great Recession in Canada,June 1 2008,July 23 2009,0
Canada,Harper Government,February 6 2006,November 4 2015,0
Canada,Quebec Student protests,February 13 2012,September 7 2012,0
Canada,Lac-Mégantic rail disaster,July 6 2013,July 6 2013,47
Canada,Trudeau Government,November 4 2015,December 31 2020,0
Canada,Cannabis Act,June 19 2018,June 19 2018,0
Canada,2018 United States–Canada tornado outbreak,September 20 2018,September 20 2018,1
Canada,Toronto Raptors NBA Championship,May 30 2019,June 13 2019,0
Canada,2020 Canadian pipeline and railway protests,January 7 2020,March 19 2020,0
Canada,COVID-19,January 25 2020,December 31 2020,15606
US,Bush presidency,January 20 2001,January 20 2009,0
US,2005 Atlantic hurricane season,June 8 2005,January 6 2006,3912
US,Great Recession in US,February 1 2008,February 1 2009,0
US,US Involvement in Iraq,March 1 2003,December 1 2011,4507
US,Obama presidency,January 20 2009,January 20 2017,0
US,Boston Marathon bombing,April 15 2013,April 15 2013,3
US,International military intervention against ISIS,June 1 2014,December 31 2020,71
US,Trump presidency,January 20 2017,January 20 2021,0
US,2017 Las Vegas shooting,October 1 2017,October 1 2017,61
US,George Floyd Protests,May 26 2020,December 31 2020,9
US,COVID-19,January 13 2020,December 31 2020,367000
Mexico,Drug War,December 11 2006,December 31 2020,41034
Mexico,2006 Elections and Protests,July 2 2006,July 2 2006,0
Mexico,Swine Flu,April 2 2009,May 6 2009,0
Mexico,2012 General Election,July 1 2012,July 1 2012,0
Mexico,Arrest of Los Zetas Leader,July 15 2013,July 15 2013,0
Mexico,Iguala Mass Kidnappings,September 26 2014,September 26 2014,6
Mexico,Puebla Earthquake,September 9 2017,September 9 2017,370
Mexico,Pipeline Explosion,January 18 2019,January 18 2019,137
Mexico,Salamanca Nightclub Shooting,March 9 2019,March 9 2019,15
Mexico,COVID-19,February 28 2020,December 31 2020,145000
Iran,Iran-Saudi Proxy Conflict,February 11 1979,December 31 2020,0
Iran,2009 Presidential Elections Protest,June 13 2009,December 7 2010,36
Iran,Sanctions against Central Bank,January 23 2012,January 23 2012,0
Iran,Involvement in the Syrian civil war,June 9 2013,December 31 2020,0
Iran,Iranian intervention in Iraq,June 13 2014,December 31 2020,558
Iran,JCPOA Sanctions Relief,January 1 2016,January 1 2016,0
Iran,Resumption of sanctions,May 8 2018,May 8 2018,0
Iran,Persian Gulf Crisis,May 5 2019,December 31 2020,23
Iran,COVID-19,May 9 2020,December 31 2020,55000
Iran,Assassination of General Qasem Soleimani,January 3 2020,January 3 2020,1
China,Anti-Japanese Protests,April 11 2005,April 11 2005,0
China,Sichuan Earthquake,May 12 2008,May 12 2008,69180
China,2010 Yushu Earthquake,April 14 2010,April 14 2010,2698
China,2010 China Floods,May 10 2010,September 1 2010,3189
China,Belt and Road Initiative,January 1 2013,December 31 2020,0
China,Xinjiang Internment Camps,January 1 2017,December 31 2020,0
China,China-US Trade War,January 1 2018,December 31 2020,0
China,HK Protests,March 15 2019,June 30 2020,5
China,COVID-19,December 1 2019,December 31 2020,4634
China,Chinese Property Sector Crisis,January 1 2020,December 31 2020,0
Lebanon,2006 Lebanon War,July 12 2006,August 14 2006,888
Lebanon,2007 Lebanon Conflict,May 20 2007,September 7 2007,500
Lebanon,2008 Lebanon Conflict,May 7 2008,May 14 2008,110
Lebanon,Syrian Civil War Spillover,June 17 2011,August 28 2017,1000
Lebanon,2011 Lebanese Protests,January 12 2011,December 15 2011,0
Lebanon,Aoun presidency,October 31 2016,December 31 2020,0
Lebanon,17 October Revolution,October 17 2019,December 31 2020,0
Lebanon,Lebanese Liquidity Crisis,August 1 2019,December 31 2020,0
Lebanon,COVID-19,February 21 2020,December 31 2020,16000
Lebanon,2020 Beirut Explosion,August 4 2020,August 4 2020,0
Ukraine,Orange Revolution,November 22 2004,January 23 2005,0
Ukraine,Central Europe Floods,May 1 2010,June 1 2010,37
Ukraine,Russia-Ukraine Gas Dispute,March 1 2015,December 31 2020,0
Ukraine,Euromaiden,November 21 2013,February 23 2014,0
Ukraine,Crimean Annexation,March 18 2014,March 18 2014,0
Ukraine,War in Donbas,April 6 2014,December 31 2020,8000
Ukraine,2014 Vrancea Earthquake,November 22 2014,November 22 2014,0
Ukraine,Ukraine Airlines Flight 752,January 8 2020,January 8 2020,176
Ukraine,COVID-19,March 3 2020,December 31 2020,18000
Ukraine,Floods,June 22 2020,June 24 2020,0
Vietnam,Typhoon Durian,November 25 2006,December 6 2006,85
Vietnam,Joins WTO,January 11 2007,January 11 2007,0
Vietnam,2 child policy enacted,July 1 2008,July 1 2008,0
Vietnam,EEU Free Trade Agreement,May 29 2015,May 29 2015,0
Vietnam,Tropical Storm Dianmu,August 21 2016,August 21 2016,17
Vietnam,Marine Life Disaster,April 6 2016,April 6 2016,1
Vietnam,CPTPP comes into effect,December 30 2018,December 30 2018,0
Vietnam,COVID-19,January 23 2020,December 31 2020,35
Vietnam,EU Free Trade Agreement,August 1 2020,August 1 2020,0
Vietnam,2020 Central Vietnam Floods,October 5 2020,November 21 2020,189
India,Kashmir Earthquake,October 8 2005,October 8 2005,86000
India,Indo-US Nuke Deal,February 2 2009,February 2 2009,0
India,Rural Job Scheme Launched,February 1 2006,February 1 2006,0
India,Samjhauta Express Bombings,February 18 2007,February 18 2007,70
India,Mumbai Attacks,November 26 2008,November 26 2008,175
India,Homosexual Sex Decriminalized,July 1 2009,July 1 2009,0
India,Ladakh Floods,August 6 2010,August 6 2010,255
India,Delhi Gang Rape and Murder,December 16 2012,December 16 2012,1
India,Delhi Riots,February 23 2020,February 29 2020,53
India,COVID-19,January 30 2020,December 31 2020,150000
